source_code,target_system,target_code
01576,http://hl7.org/fhir/sid/icd-10,A18.03
01580,http://hl7.org/fhir/sid/icd-10,A18.02
01581,http://hl7.org/fhir/sid/icd-10,A18.02
01582,http://hl7.org/fhir/sid/icd-10,A18.02
01583,http://hl7.org/fhir/sid/icd-10,A18.02
01584,http://hl7.org/fhir/sid/icd-10,A18.02
01585,http://hl7.org/fhir/sid/icd-10,A18.02
01586,http://hl7.org/fhir/sid/icd-10,A18.02
01590,http://hl7.org/fhir/sid/icd-10,A18.02
01590,http://hl7.org/fhir/sid/icd-10,A18.03
01591,http://hl7.org/fhir/sid/icd-10,A18.02
01591,http://hl7.org/fhir/sid/icd-10,A18.03
01592,http://hl7.org/fhir/sid/icd-10,A18.02
01592,http://hl7.org/fhir/sid/icd-10,A18.03
01593,http://hl7.org/fhir/sid/icd-10,A18.02
01593,http://hl7.org/fhir/sid/icd-10,A18.03
01594,http://hl7.org/fhir/sid/icd-10,A18.02
01594,http://hl7.org/fhir/sid/icd-10,A18.03
01595,http://hl7.org/fhir/sid/icd-10,A18.02
01595,http://hl7.org/fhir/sid/icd-10,A18.03
01596,http://hl7.org/fhir/sid/icd-10,A18.02
01596,http://hl7.org/fhir/sid/icd-10,A18.03
01600,http://hl7.org/fhir/sid/icd-10,A18.11
01601,http://hl7.org/fhir/sid/icd-10,A18.11
01602,http://hl7.org/fhir/sid/icd-10,A18.11
01603,http://hl7.org/fhir/sid/icd-10,A18.11
01604,http://hl7.org/fhir/sid/icd-10,A18.11
01605,http://hl7.org/fhir/sid/icd-10,A18.11
01606,http://hl7.org/fhir/sid/icd-10,A18.11
01610,http://hl7.org/fhir/sid/icd-10,A18.12
01611,http://hl7.org/fhir/sid/icd-10,A18.12
01612,http://hl7.org/fhir/sid/icd-10,A18.12
01613,http://hl7.org/fhir/sid/icd-10,A18.12
01614,http://hl7.org/fhir/sid/icd-10,A18.12
01615,http://hl7.org/fhir/sid/icd-10,A18.12
01616,http://hl7.org/fhir/sid/icd-10,A18.12
01620,http://hl7.org/fhir/sid/icd-10,A18.11
01621,http://hl7.org/fhir/sid/icd-10,A18.11
01622,http://hl7.org/fhir/sid/icd-10,A18.11
01623,http://hl7.org/fhir/sid/icd-10,A18.11
01624,http://hl7.org/fhir/sid/icd-10,A18.11
01625,http://hl7.org/fhir/sid/icd-10,A18.11
01626,http://hl7.org/fhir/sid/icd-10,A18.11
01630,http://hl7.org/fhir/sid/icd-10,A18.13
01631,http://hl7.org/fhir/sid/icd-10,A18.13
01632,http://hl7.org/fhir/sid/icd-10,A18.13
01633,http://hl7.org/fhir/sid/icd-10,A18.13
01634,http://hl7.org/fhir/sid/icd-10,A18.13
01635,http://hl7.org/fhir/sid/icd-10,A18.13
01636,http://hl7.org/fhir/sid/icd-10,A18.13
01640,http://hl7.org/fhir/sid/icd-10,A18.15
01641,http://hl7.org/fhir/sid/icd-10,A18.15
01642,http://hl7.org/fhir/sid/icd-10,A18.15
01643,http://hl7.org/fhir/sid/icd-10,A18.15
01644,http://hl7.org/fhir/sid/icd-10,A18.15
01645,http://hl7.org/fhir/sid/icd-10,A18.15
01646,http://hl7.org/fhir/sid/icd-10,A18.15
01650,http://hl7.org/fhir/sid/icd-10,A18.14
01650,http://hl7.org/fhir/sid/icd-10,A18.15
01651,http://hl7.org/fhir/sid/icd-10,A18.14
01651,http://hl7.org/fhir/sid/icd-10,A18.15
01652,http://hl7.org/fhir/sid/icd-10,A18.14
01652,http://hl7.org/fhir/sid/icd-10,A18.15
01653,http://hl7.org/fhir/sid/icd-10,A18.14
01653,http://hl7.org/fhir/sid/icd-10,A18.15
01654,http://hl7.org/fhir/sid/icd-10,A18.14
